Point,learningrate,Irdecay,weightdecay,hidden-dim,day prec,data ave,data std
1,0.159628776,0.02418931,0.280446649,99,0.535518028,,
2,0.347479795,0.041994195,0.221365845,134,0.242609293,,
3,0.682751701,0.021505281,0.234005225,192,0.378640794,,
4,0.481175121,0.059751551,0.142738752,149,0.389818467,,
5,0.055240719,0.040111182,0.855192558,71,0.306297711,,
6,0.261843626,0.045317331,0.832956303,171,0.68067509,,
7,0.848987352,0.057698447,0.78150912,36,0.661279547,,
8,0.026155923,0.022162149,0.726148968,23,0.265366776,,
9,0.897891653,0.066016025,0.158169477,32,0.539806989,,
10,0.093207929,0.081302285,0.368979102,44,0.349666483,,
11,0.744172524,0.038655467,0.187719324,56,0.47357018,,
12,0.492116864,0.087121418,0.005632113,55,0.507288873,,
13,0.256679721,0.019255959,0.32313307,20,0.752956235,,
14,0.62780568,0.054816774,0.692439232,107,0.558897504,,
15,0.188507212,0.011956247,0.595423482,33,0.39643668,,
16,0.764982709,0.035384069,0.532980182,39,0.630264225,,
17,0.69453668,0.010811168,0.470620917,132,0.636980865,,
18,0.060157346,0.032292017,0.310715225,174,0.522059507,,
19,0.080519382,0.026496217,0.496823521,196,0.815111878,,
20,0.22097422,0.044355849,0.756430019,117,0.473407611,,
21,0.032700292,0.029030858,0.763437616,198,0.427156349,,
22,0.416127603,0.023892051,0.545228907,111,0.58647141,,
23,0.823877624,0.075151206,0.741674007,101,0.301210861,,
24,0.705001264,0.091153851,0.607144774,60,0.434625634,,
25,0.557506766,0.096822869,0.090906706,81,0.414481764,,
26,0.913201334,0.036480611,0.502115723,92,0.707669081,,
27,0.120194239,0.065055274,0.358968483,27,0.611311801,,
28,0.936945109,0.052468525,0.075074516,180,0.59600818,,
29,0.152735095,0.067333271,0.129125063,25,0.643535855,,
30,0.553378266,0.042342802,0.211527401,86,0.640485685,,
31,0.203454162,0.018208868,0.654562606,167,0.505220789,,
32,0.600072342,0.062230071,0.445267056,69,0.285580389,,
33,0.011630292,0.026872195,0.670317356,126,0.250682336,,
34,0.803128465,0.014133761,0.250817552,161,0.506028775,,
35,0.882918343,0.098116487,0.02194666,179,0.747097857,,
36,0.942966871,0.06038203,0.524881385,186,0.630206334,,
37,0.988539235,0.098844858,0.290722743,46,0.662414537,,
38,0.50823025,0.08401955,0.836348281,53,0.763475519,,
39,0.289594763,0.013427291,0.808507153,182,0.423068869,,
40,0.135746449,0.078661454,0.418768341,121,0.399959606,,
41,0.517019255,0.079554583,0.028523574,95,0.670306675,,
42,0.652053352,0.0772402,0.6425856,123,0.387129489,,
43,0.798955676,0.071228986,0.7883747,164,0.810572672,,
44,0.105851921,0.033483628,0.874584172,105,0.639172102,,
45,0.729857161,0.084630439,0.048733459,50,0.399681069,,
46,0.540093657,0.037587812,0.487310448,88,0.440618578,,
47,0.236688093,0.05173415,0.570127622,77,0.582678512,,
48,0.960726682,0.090600002,0.657148576,194,0.612239131,,
49,0.670872084,0.089622698,0.69951184,130,0.679879721,,
50,0.429343921,0.056051739,0.61874165,142,0.554084336,,
51,0.974804919,0.047166157,0.717715758,147,0.342411015,,
52,0.720591072,0.076261228,0.376596747,61,0.514860439,,
53,0.468807556,0.096130858,0.561638737,103,0.269448392,,
54,0.864316374,0.093680681,0.085523654,114,0.591143342,,
55,0.578320708,0.073459332,0.063214398,42,0.590497473,,
56,0.58580067,0.049855318,0.889481693,115,0.52339333,,
57,0.773504384,0.088389505,0.301202768,138,0.355583437,,
58,0.329115224,0.063731967,0.582286203,74,0.694713684,,
59,0.276022368,0.092986472,0.863974342,173,0.653640674,,
60,0.637096466,0.016264944,0.179936669,153,0.387919858,,
61,0.915215432,0.069131739,0.19427485,64,0.296767207,,
62,0.407441861,0.082350898,0.341366832,90,0.656045625,,
63,0.182411153,0.030116136,0.813244626,66,0.596153882,,
64,0.451487053,0.050139427,0.402436826,158,0.505732511,,
65,0.304220137,0.031295727,0.260025922,154,0.540677233,,
66,0.377741094,0.048010144,0.140261498,83,0.609825739,,
67,0.832049812,0.057508154,0.431783992,136,0.431533332,,
68,0.385784984,0.070364759,0.391190395,189,0.732886117,,
69,0.357685975,0.017597157,0.104613817,160,0.555140705,,
70,0.320934404,0.072236238,0.452617938,144,0.379576195,,
