Point ,hidden_dim,learningrate_,lrdecay_,weightdecay_,data_ave,data_std,tr_acc,tr_prec,tr_reca,tr_f1,,tes_acc,tes_prec,tes_reca,tes_f1,,bias_,hiddenclass_,outclass_,num_epoch,momentum_,batchlearning_
0,177,0.054385663,0.017742868,0.804185255,0.96767085,0.93068068,0.385730955,0.296200345,0.106753813,0.156943491,,0.385730955,0.296200345,0.106753813,0.156943491,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,15,0.1,FALSE
1,127,0.067186722,0.096022519,0.06976769,0.984275861,1.108368799,0.374229038,0.113093235,0.230927835,0.151830095,,0.374229038,0.113093235,0.230927835,0.151830095,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,15,0.1,FALSE
2,34,0.060916869,0.060577769,0.354004925,0.97817701,1.030347071,0.355059177,0.157375643,0.161602818,0.159461221,,0.355059177,0.157375643,0.161602818,0.159461221,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,15,0.1,FALSE
3,189,0.090509227,0.090225006,0.452883294,0.977135334,1.033702378,0.590265044,0.487217725,0.978186484,0.650455063,,0.590265044,0.487217725,0.978186484,0.650455063,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,15,0.1,FALSE
4,20,0.084190228,0.041533663,0.44925189,0.980549925,1.081923602,0.631938656,0.444109672,0.80239521,0.571761055,,0.631938656,0.444109672,0.80239521,0.571761055,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,15,0.1,FALSE
5,22,0.011140441,0.06482767,0.675716022,0.961315462,0.820974312,0.408568095,0.578592375,0.483104799,0.526554577,,0.408568095,0.578592375,0.483104799,0.526554577,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,15,0.1,FALSE
6,199,0.017094572,0.011959971,0.12185363,0.960929242,0.841241385,0.299049842,0.40585443,0.129316864,0.196138406,,0.299049842,0.40585443,0.129316864,0.196138406,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,15,0.1,FALSE
7,136,0.025051268,0.0939944,0.319667604,0.984443128,1.102393872,0.555925988,0.347554039,0.76758794,0.478465153,,0.555925988,0.347554039,0.76758794,0.478465153,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,15,0.1,FALSE
8,83,0.07693074,0.067909028,0.005991631,0.967620004,0.933111627,0.488914819,0.540604344,0.353613342,0.427557879,,0.488914819,0.540604344,0.353613342,0.427557879,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,15,0.1,FALSE
9,109,0.020020417,0.017599749,0.835118631,0.979275477,1.058201888,0.559259877,0.245107176,0.125417263,0.165930599,,0.559259877,0.245107176,0.125417263,0.165930599,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,15,0.1,FALSE
10,153,0.096533115,0.07454576,0.635748878,0.971853081,0.980086182,0.638773129,0.571398305,0.949313622,0.713397699,,0.638773129,0.571398305,0.949313622,0.713397699,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,15,0.1,FALSE
11,25,0.072923605,0.040097574,0.619481887,0.969126675,0.953340373,0.479746624,0.491565744,0.746960237,0.592930742,,0.479746624,0.491565744,0.746960237,0.592930742,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,15,0.1,FALSE
12,149,0.013259751,0.015255747,0.135853519,0.957711527,0.767751655,0.286881147,0.57492163,0.203010848,0.300065445,,0.286881147,0.57492163,0.203010848,0.300065445,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,15,0.1,FALSE
13,144,0.082029095,0.027869977,0.342118809,0.96557181,0.917615058,0.388064677,0.445622435,0.388607217,0.415166481,,0.388064677,0.445622435,0.388607217,0.415166481,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,15,0.1,FALSE
14,97,0.086372423,0.03148005,0.178885681,0.9762285,1.024200856,0.658609768,0.661448141,0.284272498,0.397647059,,0.658609768,0.661448141,0.284272498,0.397647059,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,15,0.1,FALSE
