Point ,hidden_dim,learningrate_,lrdecay_,weightdecay_,data_ave,data_std,tr_acc,tr_prec,tr_reca,tr_f1,,tes_acc,tes_prec,tes_reca,tes_f1,,bias_,hiddenclass_,outclass_,num_epoch,momentum_,batchlearning_
0,99,0.159628776,0.02418931,0.280446649,1,0.93068068,0.390731789,0.446254864,0.571117336,0.501023891,,0.390731789,0.446254864,0.571117336,0.501023891,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,30,0.1,FALSE
1,134,0.347479795,0.041994195,0.221365845,1,1.108368799,0.666611102,0.01426025,0.005498282,0.007936508,,0.666611102,0.01426025,0.005498282,0.007936508,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,30,0.1,FALSE
2,192,0.682751701,0.021505281,0.234005225,1,1.030347071,0.378563094,0.378563094,1,0.549214027,,0.378563094,0.378563094,1,0.549214027,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,30,0.1,FALSE
3,149,0.481175121,0.059751551,0.142738752,1,1.033702378,0.390565094,0.38994656,0.998716852,0.560893586,,0.390565094,0.38994656,0.998716852,0.560893586,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,30,0.1,FALSE
4,71,0.055240719,0.040111182,0.855192558,1,1.081923602,0.610435073,0.013618677,0.003810561,0.005954913,,0.610435073,0.013618677,0.003810561,0.005954913,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,30,0.1,FALSE
5,171,0.261843626,0.045317331,0.832956303,1,0.820974312,0.688781464,0.686459209,0.999265426,0.813839864,,0.688781464,0.686459209,0.999265426,0.813839864,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,30,0.1,FALSE
6,36,0.848987352,0.057698447,0.78150912,1,0.841241385,0.661276879,0.661276879,1,0.796106763,,0.661276879,0.661276879,1,0.796106763,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,30,0.1,FALSE
7,23,0.026155923,0.022162149,0.726148968,1,1.102393872,0.409734956,0.288840737,0.837311558,0.429515064,,0.409734956,0.288840737,0.837311558,0.429515064,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,30,0.1,FALSE
8,32,0.897891653,0.066016025,0.158169477,1,0.933111627,0.259543257,0.320512821,0.331995059,0.326152913,,0.259543257,0.320512821,0.331995059,0.326152913,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,30,0.1,FALSE
9,44,0.093207929,0.081302285,0.368979102,1,1.058201888,0.516752792,0.291145833,0.266571292,0.278317152,,0.516752792,0.291145833,0.266571292,0.278317152,,TRUE,<class 'pybrain.structure.modules.tanhlayer.TanhLayer'>,<class 'pybrain.structure.modules.softmax.SoftmaxLayer'>,30,0.1,FALSE
