division_num,im_size,batch_size,lr,krnl_2,num_epochs,tr_data_ave,tr_data_std,tr_acc,,tes_data_ave,tes_data_std,tes_acc,div_time
0,64,188,0.005000345,12,3,-0.000608772,0.007621631,97,,0.000794111,0.005896074,97,121.6418285
1,64,202,0.001223749,3,3,-0.002841289,0.00651968,99,,0.000794111,0.005896074,98,115.861155
2,64,363,0.00183834,19,3,-0.000984061,0.003929366,98,,0.000794111,0.005896074,98,163.1652205
3,64,148,0.000101,2,3,-0.00229241,0.009468147,98,,0.000794111,0.005896074,98,162.3493898
4,64,83,0.003895593,11,3,-0.00561781,0.016393926,97,,0.000794111,0.005896074,97,164.7593482
5,64,120,0.004468224,4,3,0.001026018,0.011980915,97,,0.000794111,0.005896074,98,162.6907496
6,64,280,0.001526608,9,3,0.000386208,0.005265228,98,,0.000794111,0.005896074,96,157.9826097
7,64,328,0.006396166,18,3,-0.001678799,0.004184349,96,,0.000794111,0.005896074,96,157.1999419
8,64,372,0.000403816,6,3,-0.000260133,0.004078408,98,,0.000794111,0.005896074,96,160.2566884
9,64,112,0.000975455,18,3,-0.003661583,0.012291688,99,,0.000794111,0.005896074,98,161.8373713
10,64,302,0.009549301,15,3,-0.000672452,0.004742829,93,,0.000794111,0.005896074,96,116.0916281
11,64,253,0.009682182,8,3,-0.00056739,0.005710772,89,,0.000794111,0.005896074,96,116.7403505
12,64,155,0.00065805,6,3,0.001604,0.009259184,98,,0.000794111,0.005896074,95,157.8759079
13,64,209,0.00453959,7,3,-0.000314373,0.006927995,97,,0.000794111,0.005896074,97,160.6285884
14,64,190,0.008334363,16,3,-0.001712746,0.007436922,97,,0.000794111,0.005896074,98,159.6302726
15,64,274,0.00214915,2,3,0.000208004,0.005257094,99,,0.000794111,0.005896074,99,161.1714611
16,64,298,0.008157504,14,3,0.00023015,0.00503729,63,,0.000794111,0.005896074,92,163.1333506
17,64,126,0.007738503,13,3,-0.000971441,0.011445947,97,,0.000794111,0.005896074,97,160.7994008
18,64,71,0.005827724,16,3,0.004823049,0.019819697,96,,0.000794111,0.005896074,73,163.241868
